sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode14_120_filtered	134	144.69926531061307	0.0030958336609031465	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	16	163.31778869193468	0.003494176052459022	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode14_120_filtered	38	48.831559987667355	0.00104474882301385	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode14_120_filtered	226	84.99942513717212	0.001818558518125206	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	134	15.111350075733105	0.0003233065912651499	3056842	Novosphingobium pituita	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	163	17.0	0.00036371416345742404	147266	Agrobacterium albertimagni	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	139	256.62205757950284	0.005490416293955987	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	139	47.40716331442037	0.0010142739262819934	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	139	106.83410689112708	0.0022857104598016063	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	155	21.85666459355673	0.0004676222634479403	2938948	Sphingomonas glaciei	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	139	46.09131950115143	0.0009861215126476558	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
