sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	38	0.001747996103		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Friedmanniomyces	Friedmanniomyces simplex	329884	74.8
barcode19	66	0.002813113146		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis	46584	120.4
barcode19	31	0.004607076043		Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	Aphanomyces	Aphanomyces astaci	112090	197.2
barcode19	27	0.002857642605		Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	Aphanomyces	Aphanomyces invadans	157072	122.3
barcode19	103	0.000327118090		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Deakozyma	Deakozyma indianensis	1470396	14.0
barcode19	22	0.001683181713		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae	4779	72.0
barcode19	115	0.000770114116		Ascomycota	Dothideomycetes	Kirschsteiniotheliales	Kirschsteiniotheliaceae	Kirschsteiniothelia	Kirschsteiniothelia puerensis	2978459	33.0
barcode19	121	0.005091163088		Chytridiomycota	Chytridiomycetes		Quaeritorhizaceae	Quaeritorhiza	Quaeritorhiza haematococci	2654861	217.9
barcode19	293	0.002051207372		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	78545	87.8
barcode19	212	0.002393108859		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora entreriana	937378	102.4
barcode19	57	0.000258102388		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora spinosa	27374	11.0
barcode19	205	0.002658271234		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora colombiana	27376	113.8
barcode19	57	0.005153888270		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	1079897	220.6
barcode19	77	0.000963052297		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	2588764	41.2
barcode19	251	0.032634459323		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	1972599	1396.7
barcode19	91	0.002724329756		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces oligophaga	45792	116.6
barcode19	38	0.000583066783		Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	Dothidea sambuci	162394	25.0
barcode19	15	0.002124119597		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis calami	1903024	90.9
