OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_65	31	0	0	31	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces aspiralis
OTU_260	30	0	30	0	1		Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	Phaeotremella ovata
OTU_20	29	0	14	15	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus anzutake
OTU_169	29	0	0	29	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina pakaraimensis
OTU_266	29	0	29	0	1		Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	Cryptotrichosporon	Cryptotrichosporon siamense
OTU_288	29	14	14	0	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii
OTU_298	29	0	0	29	2		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta soli
OTU_98	28	0	17	12	2		Chytridiomycota	Chytridiomycetes	Lobulomycetales	Lobulomycetaceae	Lobulomyces	Lobulomyces poculatus
OTU_103	28	14	0	14	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Deakozyma	Deakozyma indianensis
OTU_128	28	0	14	14	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Boekhoutia	Boekhoutia sterigmata
OTU_141	28	0	0	28	1		Basidiomycota	Ustilaginomycetes	Urocystidales	Glomosporiaceae	Thecaphora	Thecaphora australiensis
OTU_153	28	0	13	14	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales		Operculomyces	Operculomyces laminatus
OTU_228	28	0	0	28	1		Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia lusitanica
OTU_70	27	0	14	13	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium brooksianum
OTU_11	26	0	12	13	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces amatsuensis
OTU_174	26	15	0	12	1		Basidiomycota	Pucciniomycetes	Pucciniales	Crossopsoraceae	Stomatisora	Stomatisora psychotriicola
OTU_207	26	0	0	26	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Protrudomycetaceae	Protrudomyces	Protrudomyces lateralis
OTU_213	26	0	0	26	1		Basidiomycota	Tremellomycetes	Holtermanniales		Holtermannia	Holtermannia saccardoi
OTU_243	26	0	14	11	1		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar equi
OTU_144	25	0	0	25	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina cerebriformis
OTU_262	25	0	0	25	1		Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Hygrophorus mesotephrus
OTU_302	25	0	0	25	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces limnicus
OTU_307	25	0	0	25	1		Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Fuscocatenula	Fuscocatenula submersa
OTU_158	24	0	0	24	1		Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius taedae
OTU_173	24	0	24	0	1		Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma stramentorum
OTU_17	23	0	0	23	1		Ascomycota	Sordariomycetes	Xylariales	Leptosilliaceae	Leptosillia	Leptosillia macrospora
OTU_214	23	0	23	0	1		Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	Sistotremastrum	Sistotremastrum vigilans
OTU_224	23	0	13	10	1		Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita chepangianoides
OTU_239	23	0	0	23	1		Ascomycota	Leotiomycetes	Chaetomellales	Chaetomellaceae	Chaetomella	Chaetomella zambiensis
OTU_100	22	0	0	22	1		Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Dacrymyces	Dacrymyces venustus
OTU_183	22	0	0	22	1		Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Microsporomycetaceae	Microsporomyces	Microsporomyces ellipsoideus
OTU_184	22	0	0	22	1		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus noonimiae
OTU_201	22	0	0	22	1		Basidiomycota	Cystobasidiomycetes	Cystobasidiales		Robertozyma	Robertozyma ningxiaensis
OTU_210	22	0	0	22	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum subberkeleyanum
OTU_223	22	0	0	22	1		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia tuberculata
OTU_2	21	0	0	21	1		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces dupontii
OTU_204	21	0	0	21	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum minospororufescens
OTU_209	21	0	0	21	1		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum minor
OTU_241	21	0	0	21	1		Ascomycota	Leotiomycetes	Helotiales	Cordieritidaceae	Annabella	Annabella australiensis
OTU_43	20	20	0	0	1		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum abscissum
OTU_119	20	0	0	20	1		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Paraisaria	Paraisaria alba
OTU_155	20	0	20	0	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Alphamycetaceae	Alphamyces	Alphamyces chaetifer
OTU_202	20	0	0	20	1		Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita vernicoccora
OTU_217	20	0	20	0	1		Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe viscata
OTU_55	19	0	0	19	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Boothiomyces	Boothiomyces macroporosus
OTU_69	19	0	0	19	1		Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Geotrichum	Geotrichum fermentans
OTU_123	19	0	19	0	1		Ascomycota	Sordariomycetes	Falcocladiales	Falcocladiaceae	Falcocladium	Falcocladium turbinatum
OTU_146	19	0	0	19	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia	Bensingtonia pseudorectispora
OTU_150	19	0	19	0	1		Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon arctostaphyli
OTU_198	19	0	0	19	1		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema chloroporum
OTU_253	19	0	19	0	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Vanrija	Vanrija nantouana
OTU_281	19	0	0	19	1		Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Neosarcodon	Neosarcodon umbilicatus
OTU_129	18	0	0	18	1		Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Arxiozyma	Arxiozyma pintolopesii
OTU_167	18	0	18	0	1		Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Circinella	Circinella lacrymispora
OTU_190	18	0	0	18	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum itachiharitake
OTU_244	18	0	0	18	1		Ascomycota	Sporopachydermiomycetes	Sporopachydermiales	Sporopachydermiaceae	Sporopachydermia	Sporopachydermia quercuum
OTU_249	18	0	0	18	1		Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema zeae
OTU_255	18	0	0	18	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Aquamycetaceae	Aquamyces	Aquamyces chlorogonii
OTU_265	18	18	0	0	1		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella niemeijerarum
OTU_278	18	0	0	18	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	Bulleribasidium cremeum
OTU_111	17	0	0	17	1		Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Octospora	Octospora oscarii
OTU_277	17	0	0	17	1		Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria irregularis
OTU_300	17	0	0	17	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea nitidulidarum
OTU_13	16	0	0	16	1		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Pseudoteratosphaeria	Pseudoteratosphaeria ohnowa
OTU_37	16	0	16	0	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa yuccicola
OTU_80	16	16	0	0	1		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Chordomyces	Chordomyces antarcticum
OTU_87	16	0	16	0	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Diutina	Diutina rugosa
OTU_106	16	0	0	16	1		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Pleurocordyceps	Pleurocordyceps ophiocordycipiticola
OTU_160	16	0	0	16	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa ribitophobia
OTU_164	16	0	0	16	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Oberwinklerozyma	Oberwinklerozyma dicranopteridis
OTU_215	16	0	0	16	1		Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_256	16	0	16	0	1		Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Octaviania	Octaviania nonae
OTU_272	16	0	0	16	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum cacaoliposimile
OTU_273	16	0	0	16	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	Bulleribasidium setariae
OTU_7	15	0	15	0	1		Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma pruni
OTU_136	15	0	0	15	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma fusiformis
OTU_138	15	0	0	15	1		Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Lulesia	Lulesia alachuana
OTU_185	15	0	0	15	1		Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis curvata
OTU_246	15	0	0	15	1		Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Basidiodendron	Basidiodendron parile
OTU_59	14	0	14	0	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Kappamycetaceae	Kappamyces	Kappamyces laurelensis
OTU_89	14	0	0	14	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia rancensis
OTU_139	14	14	0	0	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia setariae
OTU_166	14	0	14	0	1		Basidiomycota	Microbotryomycetes	Heitmaniales	Heitmaniaceae	Heitmania	Heitmania cylindrica
OTU_181	14	0	0	14	1		Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Microsporomycetaceae	Microsporomyces	Microsporomyces rubellus
OTU_227	14	0	0	14	1		Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Neocoleroa	Neocoleroa metrosideri
OTU_279	14	0	0	14	1		Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis pilosus
OTU_282	14	0	0	14	1		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta cylindrispora
OTU_8	13	0	0	13	1		Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Rhopalophora	Rhopalophora clavispora
OTU_14	13	0	0	13	1		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	Hirsutella rhossiliensis
OTU_30	13	0	0	13	1		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana
OTU_50	13	13	0	0	1		Mucoromycota	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus occultum
OTU_81	13	0	0	13	1		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum turcicum
OTU_92	13	0	0	13	1		Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella tropica
OTU_135	13	0	0	13	1		Ascomycota	Leotiomycetes	Helotiales		Mastigosporium	Mastigosporium album
OTU_203	13	0	13	0	1		Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella ochrofulva
OTU_226	13	0	13	0	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Alphamycetaceae	Alphamyces	Alphamyces thailandicus
OTU_16	12	0	0	12	1		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Sagenomella	Sagenomella diversispora
OTU_120	12	0	0	12	1		Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma dichroides
OTU_235	12	0	12	0	1		Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Sonoraphlyctidaceae	Sonoraphlyctis	Sonoraphlyctis ranzonii
OTU_240	12	0	12	0	1		Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Berkeleyomyces	Berkeleyomyces basicola
OTU_283	12	0	0	12	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	Bulleribasidium wuzhishanense
OTU_5	11	0	0	11	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces sakishimensis
OTU_110	11	11	0	0	1		Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Neomollisia	Neomollisia gelatinosa
OTU_242	11	0	0	11	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia maotaiensis
OTU_267	11	0	0	11	1		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Microthecium	Microthecium ciliatum
OTU_287	11	0	0	11	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Spathaspora	Spathaspora passalidarum
OTU_134	10	0	10	0	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma sorbariae
