OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_88	562	438	45	79	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii
OTU_73	558	33	116	409	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis
OTU_179	507	35	165	306	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus
OTU_46	488	186	142	160	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora
OTU_116	462	39	96	327	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae
OTU_271	456	43	138	275	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_197	450	40	101	308	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_258	448	43	73	332	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_53	415	0	143	272	4		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma pseudohaemuli
OTU_216	380	43	95	243	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_57	371	232	43	97	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_296	355	0	102	253	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma khanbhai
OTU_61	346	0	100	246	1		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	[Candida] silvatica
OTU_157	342	0	79	263	1		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema luteoviride
OTU_23	332	13	62	256	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_261	330	44	105	180	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_72	323	43	100	180	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_270	314	0	74	240	3		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sorghi
OTU_84	306	19	72	215	1		Ascomycota				Novakomyces	Novakomyces olei
OTU_42	304	56	125	123	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum
OTU_293	302	88	56	158	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
OTU_109	301	52	65	183	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis
OTU_39	295	29	161	105	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis
OTU_176	277	0	126	151	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Feramyces	Feramyces austinii
OTU_60	268	27	115	126	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta
OTU_21	261	45	72	144	1		Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus
OTU_107	258	59	65	134	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta
OTU_52	248	0	64	184	3		Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans
OTU_152	245	0	56	189	1		Basidiomycota	Agaricomycetes	Gomphales	Lentariaceae	Lentaria	Lentaria variabilis
OTU_234	238	28	40	170	1		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus haptosporus
OTU_140	233	0	233	0	1		Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella bidoupensis
OTU_104	228	0	47	181	1		Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Adelosphaeria	Adelosphaeria catenata
OTU_22	227	72	50	105	2		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae
OTU_130	221	21	72	127	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera
OTU_274	218	24	88	106	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Terramyces	Terramyces aquatica
OTU_148	217	0	59	158	1		Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia comma
OTU_168	210	0	24	186	4		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris sivanesaniana
OTU_268	210	72	108	30	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae
OTU_236	209	74	135	0	2		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia ovata
OTU_230	204	130	24	50	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis
OTU_86	195	17	67	111	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis
OTU_194	193	29	62	102	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces	Piromyces finnis
OTU_182	189	13	31	145	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii
OTU_286	187	52	58	77	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Sungouiella	Sungouiella pseudoflosculorum
OTU_165	186	0	30	157	2		Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium globosum
OTU_28	185	0	61	124	3		Ascomycota	Pneumocystomycetes	Pneumocystales	Pneumocystaceae	Pneumocystis	Pneumocystis jirovecii
OTU_102	184	32	0	152	1		Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	Atractiella	Atractiella rhizophila
OTU_280	178	14	47	117	1		Basidiomycota	Agaricomycetes	Agaricales		Tricholomopsis	Tricholomopsis osiliensis
OTU_95	174	23	44	107	1		Basidiomycota	Classiculomycetes	Classiculales	Classiculaceae	Classicula	Classicula sinensis
OTU_79	173	0	60	113	1		Ascomycota				Saitoella	Saitoella complicata
OTU_3	171	81	27	63	1		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus
OTU_143	169	27	41	100	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Trigonosporomyces	Trigonosporomyces hylophilus
OTU_1	164	30	49	85	1		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis
OTU_291	153	0	0	153	1		Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	Myrmecridium hiemale
OTU_248	142	66	20	55	1		Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Tortispora	Tortispora agaves
OTU_83	141	0	44	97	3		Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	Verruconis cylindricalis
OTU_26	140	0	41	99	1		Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	Pisolithus orientalis
OTU_163	140	57	28	55	1		Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus chrysocarpus
OTU_82	138	19	24	95	3		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Myxozyma	Myxozyma vanderwaltii
OTU_10	135	11	46	78	1		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fijiensis
OTU_132	129	0	45	84	2		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma sambuci
OTU_275	129	15	27	86	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella vitae
OTU_187	126	0	40	86	1		Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma zizaniae
OTU_218	122	0	0	122	1		Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia dunensis
OTU_93	118	0	56	62	3		Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia cerealis
OTU_115	118	33	28	57	1		Ascomycota	Dothideomycetes	Kirschsteiniotheliales	Kirschsteiniotheliaceae	Kirschsteiniothelia	Kirschsteiniothelia puerensis
OTU_170	118	0	28	90	1		Basidiomycota	Pucciniomycetes	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium przewalskii
OTU_64	112	0	82	30	2		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Starmera	[Candida] dendrica
OTU_105	111	0	24	87	1		Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium brassicae
OTU_40	109	0	0	109	5		Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Narasimhella	Narasimhella hyalinospora
OTU_74	107	0	22	85	3		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Ogataea	Ogataea wickerhamii
OTU_19	104	13	32	58	1		Ascomycota	Sordariomycetes		Atractosporaceae	Atractospora	Atractospora decumbens
OTU_125	104	0	49	56	1		Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Microbotryozyma	Microbotryozyma swertiae
OTU_232	104	0	0	104	1		Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum
OTU_212	102	102	0	0	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora entreriana
OTU_221	101	0	52	49	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia novopanici
OTU_47	100	0	28	72	1		Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum
OTU_211	99	0	14	86	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Pateramycetaceae	Pateramyces	Pateramyces pingflumenensis
OTU_189	98	0	43	55	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia emaculata
OTU_238	97	0	13	85	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Halomycetaceae	Paludomyces	Paludomyces mangrovei
OTU_220	94	0	27	66	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Angulomycetaceae	Angulomyces	Angulomyces solicola
OTU_237	92	0	14	78	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma europaea
OTU_295	89	0	23	67	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae		[Candida] anutae
OTU_108	86	0	24	62	1		Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Clypeoloculus	Clypeoloculus akitaensis
OTU_145	86	0	37	49	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa cylindrica
OTU_51	83	0	0	83	2		Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Schizonella	Schizonella caricis-atratae
OTU_264	82	19	0	63	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella pagnoccae
OTU_112	80	21	22	37	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	Pecoramyces ruminantium
OTU_196	80	0	36	45	1		Basidiomycota	Cystobasidiomycetes	Cystobasidiales		Begerowomyces	Begerowomyces foliicola
OTU_208	80	0	10	70	1		Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius carranzae
OTU_76	77	77	0	0	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella lactis-condensi
OTU_85	77	15	25	36	1		Mucoromycota		Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila
OTU_269	77	38	0	39	1		Basidiomycota	Pucciniomycetes	Pucciniales	Phragmidiaceae	Hamaspora	Hamaspora rubi-alceifolii
OTU_195	76	0	0	76	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Pateramycetaceae	Pateramyces	Pateramyces corrientinensis
OTU_247	75	0	75	0	1		Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Aureonarius	Aureonarius collybianus
OTU_9	73	14	15	44	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Mycoemilia	Mycoemilia scoparia
OTU_199	72	0	72	0	1		Basidiomycota	Ustilaginomycetes	Urocystidales	Floromycetaceae	Antherospora	Antherospora vindobonensis
OTU_250	72	0	24	48	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella riodocensis
OTU_99	71	0	0	71	2		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora humicola
OTU_4	68	68	0	0	1		Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora laricis-populina
OTU_225	68	0	17	50	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Angulomycetaceae	Angulomyces	Angulomyces ubonensis
OTU_34	67	0	24	43	1		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Brettanomyces	Brettanomyces bruxellensis
OTU_254	66	0	23	43	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma pseudopenaeus
OTU_45	65	17	20	28	1		Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	Synchytrium microbalum
OTU_156	65	0	24	41	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina cinereoglebosa
OTU_263	65	0	22	42	1		Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella shuangheensis
OTU_161	64	0	0	64	2		Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor lilianae
OTU_276	64	0	23	41	1		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma taibaiensis
OTU_114	60	60	0	0	2		Ascomycota	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora	Phyllachora sandiensis
