cohort,phylum,mean,std,sem
fuzz,Bacillota,0.7289567766242063,0.0553864280175816,0.03197736912540257
fuzz,Pseudomonadota,0.24065262277919056,0.05023664916560847,0.02900414291894884
fuzz,Bacteroidota,0.010939561026501033,0.001200881085567803,0.0006933290180173011
dry,Bacillota,0.6459711755603017,0.02248956024517646,0.012984353661508937
dry,Pseudomonadota,0.23527966609943754,0.008712006504277368,0.005029879300426309
dry,Bacteroidota,0.08351559218286327,0.011340063321948759,0.006547188611554518
