barcode,cohort,Bacillota,Bacteroidota,Other,Pseudomonadota
barcode16,dry,0.6467408709320865,0.08542920230490031,0.0349825572335936,0.2318132210860125
barcode17,dry,0.6180504211922584,0.0963482441976088,0.0370797806633841,0.2472518536526053
barcode18,dry,0.6731222345565602,0.0687693300460807,0.0301326403520499,0.2267739235596948
barcode13,fuzz,0.8072850088316722,0.0105658129019851,0.0125375203494325,0.1696116579169027
barcode14,fuzz,0.6897673176693154,0.0096917200205042,0.023234923857692998,0.2768567444858523
barcode15,fuzz,0.6898180033716315,0.0125611501570138,0.0215118680287815,0.2754894659348167
