2850	47
35128	30
796027	35
76775	54
5007	34
3055	48
181762	0
564305	36
2315449	44
4779	22
162394	38
108569	15
5606	79
292281	29
134358	38
329884	38
64504	21
261099	55
82268	42
281847	56
70189	105
144539	50
68401	65
78917	68
89792	16
911321	85
1303431	108
61418	62
78545	293
1215355	12
372061	38
261097	59
447962	98
693156	122
1431932	38
1047171	38
131344	38
2059835	38
1508187	38
34356	71
933994	35
1056133	38
1396496	32
264483	52
1470396	103
27318	15
1739110	46
1809185	104
293243	8
383838	82
53607	86
71795	92
45553	60
95809	71
234567	71
234568	71
4997	37
151289	36
1571505	107
1857663	35
1079897	57
447950	98
27374	57
1068736	46
1396494	32
78596	40
335848	75
133175	38
507509	72
297794	44
54100	82
45792	91
122368	38
1431937	38
5580	38
64516	32
28988	15
112494	38
1431946	13
117821	32
4816	32
610337	93
104408	93
104415	93
89926	52
1367421	99
1307819	99
1652702	51
1652704	7
58916	101
1739102	46
1535305	46
418784	53
1961798	96
1921807	38
129865	38
45271	46
36021	64
65818	86
44082	74
1249076	74
169509	74
45511	44
5491	66
54193	61
45539	35
45562	76
49324	64
89913	52
69980	18
1903024	15
44066	69
56417	53
202755	51
271282	44
1300151	46
2527679	17
1134076	32
1134077	32
1006461	88
1170364	123
1987568	112
1525356	80
243823	73
243824	73
1548888	88
1986178	15
1470016	40
2038467	67
2066077	114
78172	66
46584	66
46585	66
45354	66
2070753	40
208486	89
246081	72
391824	66
36028	86
1661796	97
1661797	97
1809268	19
1977396	29
2021465	29
2027812	95
2036943	97
2036938	97
2036939	97
1985866	73
1985864	73
1938712	102
2499430	15
2544971	110
2544956	109
2201245	90
2315864	38
2486201	15
2709059	15
43223	38
652156	83
2717609	117
2750447	32
979659	118
979717	118
64571	118
979690	118
979695	118
423455	78
4860	78
2588764	77
1095183	94
1306365	38
324621	58
1208333	63
2704023	58
2704024	58
2704025	58
1775466	58
2704021	58
62132	38
417184	9
2775103	88
5481	87
2832335	49
2832334	49
2697669	119
2605921	84
2779259	29
2681178	116
470158	38
2780979	100
418781	38
2950318	38
2935555	46
2911221	29
4968	40
2971851	111
2956821	83
2854244	83
324673	70
2929137	114
109895	32
1395665	32
2602199	5
3031846	11
2704583	107
54101	82
3044046	73
2978459	115
2979814	15
3016851	106
2810478	38
13684	41
4787	25
3067	48
554065	1
5341	29
203908	4
1873960	10
93612	81
157072	27
4792	25
67593	22
112090	31
1485682	24
1392244	39
109760	3
80884	6
4754	28
42068	28
263815	28
45607	49
1231522	53
45357	53
51019	40
1806994	45
1750568	20
61395	23
84275	38
111463	14
34475	29
936130	26
1396493	32
110093	33
1929756	29
1671311	43
463800	36
273372	44
4785	25
28565	2
2035830	46
565031	270
1195480	167
4903	288
90248	234
1395791	195
1396502	235
340170	287
334125	149
382552	153
1395669	255
109903	155
382530	290
1395676	124
382531	207
747524	199
702124	217
700571	247
1055356	202
1115089	156
1072254	256
176627	150
2650714	231
352915	162
36751	215
308927	229
27376	205
937378	212
144533	232
742028	0
415601	216
1115088	144
1190719	169
1315970	163
1509415	135
442443	208
512029	294
1486924	113
1006457	230
1123529	130
150278	200
646068	298
743949	270
1440432	174
308924	250
1596014	281
1056642	223
1675846	238
1842020	227
266793	276
706556	186
1918531	168
1918532	168
1918535	168
582727	189
1904429	221
1904434	139
1904436	252
1754191	194
1754192	175
224212	295
1918533	168
1776151	161
1776150	161
1390527	283
1806907	170
115786	261
1955261	305
1326894	248
5325	192
1915160	243
114775	143
879818	272
1932876	127
1390525	273
1651791	264
278025	129
85574	289
77852	300
1819261	291
299329	284
1770061	285
54094	244
279323	268
1381954	253
467984	193
1508247	239
2070752	184
2093397	265
2021042	298
1858587	282
95746	209
2211343	180
2231374	180
2211346	182
2211344	182
1246581	271
1570466	245
1403820	157
2259113	228
181047	206
1132468	270
1314805	131
2529385	158
2558025	197
1206149	297
399469	292
174643	301
2576354	0
124036	240
1041604	286
2580354	257
1972599	251
2292779	187
2292778	249
2571398	307
2170546	176
2676910	241
2598216	171
1527289	304
2608273	218
2654861	121
1911174	277
2708304	259
2708308	246
1796078	148
2301216	141
2576851	306
55514	0
2596947	275
1795741	147
2834507	214
2878256	128
2877791	201
2877792	196
2877757	260
2877723	263
2877732	219
2877730	219
2877736	236
2877737	242
2877738	236
2877740	278
2877725	254
2877726	237
2877758	213
2877761	165
2877762	165
2877763	154
2877764	0
2877765	145
2877771	160
2877774	146
2877786	181
2877785	183
2877788	191
2877793	179
2877821	179
2877794	179
2877799	172
2877800	166
2877801	125
2877804	164
2877805	132
2877806	132
2877807	133
2877810	134
2877809	136
2877812	151
2877814	177
2878300	173
1647314	267
2822377	188
2822381	188
2822382	190
2823044	204
2937977	210
2859061	198
2991538	258
1149710	297
2022632	203
2710867	233
2070555	262
2494425	152
2494426	178
2991561	222
2943438	137
1133749	280
2565641	0
2565639	140
3031279	142
3043688	266
2730120	279
2841483	0
3064266	185
3023420	159
3058948	220
3058949	303
2973806	126
2891599	296
3039887	120
3125859	269
3231534	211
3231530	225
3231529	226
3231532	302
3231531	299
3231533	299
3231536	274
3237498	224
3438661	138
