from	to	rho	from_module	to_module
Caulobacterales	Hyphomicrobiales	0.943	2	2
Caulobacterales	Hyphomonadales	0.829	2	2
Caulobacterales	Micrococcales	0.943	2	2
Caulobacterales	Rhodobacterales	0.886	2	2
Caulobacterales	Rhodocyclales	0.771	2	2
Caulobacterales	Rhodothermales	0.771	2	2
Caulobacterales	Sphingomonadales	0.771	2	2
Caulobacterales	Tissierellales	0.829	2	2
Caulobacterales	Vicinamibacterales	0.771	2	2
Chitinophagales	Erysipelotrichales	0.771	1	1
Chitinophagales	Longimicrobiales	1	1	1
Chitinophagales	Lutisporales	0.771	1	1
Chitinophagales	Marinilabiliales	0.886	1	1
Chitinophagales	Myxococcales	0.714	1	1
Chitinophagales	Pedosphaerales	0.829	1	1
Chitinophagales	Peptostreptococcales	0.943	1	1
Christensenellales	Myxococcales	0.829	1	1
Christensenellales	Pedosphaerales	0.886	1	1
Cytophagales	Eubacteriales	0.829	2	2
Cytophagales	Fusobacteriales	0.886	2	2
Cytophagales	Gemmatimonadales	0.771	2	2
Cytophagales	Hyphomonadales	0.771	2	2
Cytophagales	Lachnospirales	1	2	2
Cytophagales	Legionellales	0.943	2	2
Cytophagales	Lysobacterales	0.943	2	2
Cytophagales	Nitrosomonadales	1	2	2
Cytophagales	Opitutales	0.886	2	2
Cytophagales	Rhodobacterales	0.771	2	2
Cytophagales	Rhodocyclales	0.829	2	2
Cytophagales	Rhodothermales	0.829	2	2
Cytophagales	Selenomonadales	1	2	2
Cytophagales	Sphingobacteriales	0.943	2	2
Cytophagales	Sphingomonadales	0.829	2	2
Cytophagales	Steroidobacterales	0.943	2	2
Cytophagales	Tissierellales	0.771	2	2
Cytophagales	Vampirovibrionales	0.886	2	2
Cytophagales	Vicinamibacterales	0.829	2	2
Erysipelotrichales	Longimicrobiales	0.771	1	1
Erysipelotrichales	Lutisporales	0.829	1	1
Erysipelotrichales	Myxococcales	0.771	1	1
Erysipelotrichales	Pedosphaerales	0.771	1	1
Erysipelotrichales	Peptostreptococcales	0.886	1	1
Eubacteriales	Fusobacteriales	0.714	2	2
Eubacteriales	Gemmatimonadales	0.771	2	2
Eubacteriales	Lachnospirales	0.829	2	2
Eubacteriales	Legionellales	0.943	2	2
Eubacteriales	Lysobacterales	0.771	2	2
Eubacteriales	Nitrosomonadales	0.829	2	2
Eubacteriales	Opitutales	0.886	2	2
Eubacteriales	Rhodobacterales	0.771	2	2
Eubacteriales	Rhodocyclales	0.829	2	2
Eubacteriales	Rhodothermales	1	2	2
Eubacteriales	Selenomonadales	0.829	2	2
Eubacteriales	Sphingobacteriales	0.943	2	2
Eubacteriales	Sphingomonadales	0.829	2	2
Eubacteriales	Steroidobacterales	0.771	2	2
Eubacteriales	Tissierellales	0.943	2	2
Eubacteriales	Vampirovibrionales	0.886	2	2
Eubacteriales	Vicinamibacterales	0.829	2	2
Fusobacteriales	Gemmatimonadales	0.771	2	2
Fusobacteriales	Hyphomicrobiales	0.714	2	2
Fusobacteriales	Hyphomonadales	0.771	2	2
Fusobacteriales	Lachnospirales	0.886	2	2
Fusobacteriales	Legionellales	0.771	2	2
Fusobacteriales	Lysobacterales	0.943	2	2
Fusobacteriales	Micrococcales	0.714	2	2
Fusobacteriales	Nitrosomonadales	0.886	2	2
Fusobacteriales	Opitutales	0.829	2	2
Fusobacteriales	Rhodobacterales	0.771	2	2
Fusobacteriales	Rhodocyclales	0.886	2	2
Fusobacteriales	Rhodothermales	0.714	2	2
Fusobacteriales	Selenomonadales	0.886	2	2
Fusobacteriales	Sphingobacteriales	0.771	2	2
Fusobacteriales	Sphingomonadales	0.886	2	2
Fusobacteriales	Steroidobacterales	0.943	2	2
Fusobacteriales	Tissierellales	0.771	2	2
Fusobacteriales	Vampirovibrionales	0.829	2	2
Fusobacteriales	Vicinamibacterales	0.886	2	2
Gemmatimonadales	Hyphomicrobiales	0.943	2	2
Gemmatimonadales	Hyphomonadales	0.886	2	2
Gemmatimonadales	Lachnospirales	0.771	2	2
Gemmatimonadales	Legionellales	0.714	2	2
Gemmatimonadales	Lysobacterales	0.886	2	2
Gemmatimonadales	Micrococcales	0.943	2	2
Gemmatimonadales	Nitrosomonadales	0.771	2	2
Gemmatimonadales	Rhodobacterales	1	2	2
Gemmatimonadales	Rhodocyclales	0.943	2	2
Gemmatimonadales	Rhodothermales	0.771	2	2
Gemmatimonadales	Selenomonadales	0.771	2	2
Gemmatimonadales	Sphingobacteriales	0.714	2	2
Gemmatimonadales	Sphingomonadales	0.943	2	2
Gemmatimonadales	Tissierellales	0.886	2	2
Gemmatimonadales	Vicinamibacterales	0.943	2	2
Hyphomicrobiales	Hyphomonadales	0.943	2	2
Hyphomicrobiales	Lysobacterales	0.771	2	2
Hyphomicrobiales	Micrococcales	1	2	2
Hyphomicrobiales	Rhodobacterales	0.943	2	2
Hyphomicrobiales	Rhodocyclales	0.829	2	2
Hyphomicrobiales	Sphingomonadales	0.829	2	2
Hyphomicrobiales	Tissierellales	0.771	2	2
Hyphomicrobiales	Vicinamibacterales	0.829	2	2
Hyphomonadales	Lachnospirales	0.771	2	2
Hyphomonadales	Lysobacterales	0.829	2	2
Hyphomonadales	Micrococcales	0.943	2	2
Hyphomonadales	Nitrosomonadales	0.771	2	2
Hyphomonadales	Rhodobacterales	0.886	2	2
Hyphomonadales	Rhodocyclales	0.771	2	2
Hyphomonadales	Selenomonadales	0.771	2	2
Hyphomonadales	Sphingomonadales	0.771	2	2
Hyphomonadales	Steroidobacterales	0.714	2	2
Hyphomonadales	Vicinamibacterales	0.771	2	2
Lachnospirales	Legionellales	0.943	2	2
Lachnospirales	Lysobacterales	0.943	2	2
Lachnospirales	Nitrosomonadales	1	2	2
Lachnospirales	Opitutales	0.886	2	2
Lachnospirales	Rhodobacterales	0.771	2	2
Lachnospirales	Rhodocyclales	0.829	2	2
Lachnospirales	Rhodothermales	0.829	2	2
Lachnospirales	Selenomonadales	1	2	2
Lachnospirales	Sphingobacteriales	0.943	2	2
Lachnospirales	Sphingomonadales	0.829	2	2
Lachnospirales	Steroidobacterales	0.943	2	2
Lachnospirales	Tissierellales	0.771	2	2
Lachnospirales	Vampirovibrionales	0.886	2	2
Lachnospirales	Vicinamibacterales	0.829	2	2
Legionellales	Lysobacterales	0.829	2	2
Legionellales	Nitrosomonadales	0.943	2	2
Legionellales	Opitutales	0.943	2	2
Legionellales	Rhodobacterales	0.714	2	2
Legionellales	Rhodocyclales	0.771	2	2
Legionellales	Rhodothermales	0.943	2	2
Legionellales	Selenomonadales	0.943	2	2
Legionellales	Sphingobacteriales	1	2	2
Legionellales	Sphingomonadales	0.771	2	2
Legionellales	Steroidobacterales	0.886	2	2
Legionellales	Tissierellales	0.829	2	2
Legionellales	Vampirovibrionales	0.943	2	2
Legionellales	Vicinamibacterales	0.771	2	2
Longimicrobiales	Lutisporales	0.771	1	1
Longimicrobiales	Marinilabiliales	0.886	1	1
Longimicrobiales	Myxococcales	0.714	1	1
Longimicrobiales	Pedosphaerales	0.829	1	1
Longimicrobiales	Peptostreptococcales	0.943	1	1
Lutisporales	Marinilabiliales	0.714	1	1
Lutisporales	Pedosphaerales	0.771	1	1
Lutisporales	Peptostreptococcales	0.714	1	1
Lysobacterales	Micrococcales	0.771	2	2
Lysobacterales	Nitrosomonadales	0.943	2	2
Lysobacterales	Opitutales	0.771	2	2
Lysobacterales	Rhodobacterales	0.886	2	2
Lysobacterales	Rhodocyclales	0.943	2	2
Lysobacterales	Rhodothermales	0.771	2	2
Lysobacterales	Selenomonadales	0.943	2	2
Lysobacterales	Sphingobacteriales	0.829	2	2
Lysobacterales	Sphingomonadales	0.943	2	2
Lysobacterales	Steroidobacterales	0.886	2	2
Lysobacterales	Tissierellales	0.829	2	2
Lysobacterales	Vampirovibrionales	0.771	2	2
Lysobacterales	Vicinamibacterales	0.943	2	2
Marinilabiliales	Pedosphaerales	0.829	1	1
Marinilabiliales	Peptostreptococcales	0.771	1	1
Micrococcales	Rhodobacterales	0.943	2	2
Micrococcales	Rhodocyclales	0.829	2	2
Micrococcales	Sphingomonadales	0.829	2	2
Micrococcales	Tissierellales	0.771	2	2
Micrococcales	Vicinamibacterales	0.829	2	2
Myxococcales	Pedosphaerales	0.886	1	1
Myxococcales	Peptostreptococcales	0.771	1	1
Nitrosomonadales	Opitutales	0.886	2	2
Nitrosomonadales	Rhodobacterales	0.771	2	2
Nitrosomonadales	Rhodocyclales	0.829	2	2
Nitrosomonadales	Rhodothermales	0.829	2	2
Nitrosomonadales	Selenomonadales	1	2	2
Nitrosomonadales	Sphingobacteriales	0.943	2	2
Nitrosomonadales	Sphingomonadales	0.829	2	2
Nitrosomonadales	Steroidobacterales	0.943	2	2
Nitrosomonadales	Tissierellales	0.771	2	2
Nitrosomonadales	Vampirovibrionales	0.886	2	2
Nitrosomonadales	Vicinamibacterales	0.829	2	2
Opitutales	Rhodocyclales	0.714	2	2
Opitutales	Rhodothermales	0.886	2	2
Opitutales	Selenomonadales	0.886	2	2
Opitutales	Sphingobacteriales	0.943	2	2
Opitutales	Sphingomonadales	0.714	2	2
Opitutales	Steroidobacterales	0.943	2	2
Opitutales	Tissierellales	0.771	2	2
Opitutales	Vampirovibrionales	1	2	2
Opitutales	Vicinamibacterales	0.714	2	2
Pedosphaerales	Peptostreptococcales	0.771	1	1
Propionibacteriales	Rhodospirillales	0.829	3	3
Rhodobacterales	Rhodocyclales	0.943	2	2
Rhodobacterales	Rhodothermales	0.771	2	2
Rhodobacterales	Selenomonadales	0.771	2	2
Rhodobacterales	Sphingobacteriales	0.714	2	2
Rhodobacterales	Sphingomonadales	0.943	2	2
Rhodobacterales	Tissierellales	0.886	2	2
Rhodobacterales	Vicinamibacterales	0.943	2	2
Rhodocyclales	Rhodothermales	0.829	2	2
Rhodocyclales	Selenomonadales	0.829	2	2
Rhodocyclales	Sphingobacteriales	0.771	2	2
Rhodocyclales	Sphingomonadales	1	2	2
Rhodocyclales	Steroidobacterales	0.771	2	2
Rhodocyclales	Tissierellales	0.943	2	2
Rhodocyclales	Vampirovibrionales	0.714	2	2
Rhodocyclales	Vicinamibacterales	1	2	2
Rhodothermales	Selenomonadales	0.829	2	2
Rhodothermales	Sphingobacteriales	0.943	2	2
Rhodothermales	Sphingomonadales	0.829	2	2
Rhodothermales	Steroidobacterales	0.771	2	2
Rhodothermales	Tissierellales	0.943	2	2
Rhodothermales	Vampirovibrionales	0.886	2	2
Rhodothermales	Vicinamibacterales	0.829	2	2
Selenomonadales	Sphingobacteriales	0.943	2	2
Selenomonadales	Sphingomonadales	0.829	2	2
Selenomonadales	Steroidobacterales	0.943	2	2
Selenomonadales	Tissierellales	0.771	2	2
Selenomonadales	Vampirovibrionales	0.886	2	2
Selenomonadales	Vicinamibacterales	0.829	2	2
Sphingobacteriales	Sphingomonadales	0.771	2	2
Sphingobacteriales	Steroidobacterales	0.886	2	2
Sphingobacteriales	Tissierellales	0.829	2	2
Sphingobacteriales	Vampirovibrionales	0.943	2	2
Sphingobacteriales	Vicinamibacterales	0.771	2	2
Sphingomonadales	Steroidobacterales	0.771	2	2
Sphingomonadales	Tissierellales	0.943	2	2
Sphingomonadales	Vampirovibrionales	0.714	2	2
Sphingomonadales	Vicinamibacterales	1	2	2
Steroidobacterales	Tissierellales	0.714	2	2
Steroidobacterales	Vampirovibrionales	0.943	2	2
Steroidobacterales	Vicinamibacterales	0.771	2	2
Tissierellales	Vampirovibrionales	0.771	2	2
Tissierellales	Vicinamibacterales	0.943	2	2
Vampirovibrionales	Vicinamibacterales	0.714	2	2
