node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_323	2	90	72.629	19.336	9.03e-4	Sphingopyxis	Sphingopyxis terrae	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingopyxidaceae	POP_BROAD	TRUE
OTU_325	1	56	44.629	1693.083	8.12e-4	Luoshenia	Luoshenia tenuis	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
OTU_326	2	70	57.829	7.899	8.86e-4	Brevundimonas	Brevundimonas variabilis	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	FALSE
OTU_327	1	75	65.514	30.466	8.45e-4	Sphingobium	Sphingobium aromaticiconvertens	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingobiaceae	POP_BROAD	TRUE
OTU_329	1	77	68.086	21.229	8.56e-4	Paludibaculum	Paludibaculum fermentans	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	NA	FALSE
OTU_330	1	76	64.971	114.277	8.45e-4	Longimicrobium	Longimicrobium terrae	Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae	NA	FALSE
OTU_332	3	11	9.571	3	4.31e-4	Dermatobacter	Dermatobacter hominis	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	NA	FALSE
OTU_333	2	96	83.2	15.049	9.51e-4	Anaerocolumna	Anaerocolumna sedimenticola	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_337	2	96	78.971	11.823	9.11e-4	Tabrizicola	Tabrizicola aquatica	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_338	2	79	66.6	15.516	8.19e-4	Gemmobacter	Gemmobacter nectariphilus	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_34	1	77	67.571	5.017	8.46e-4	Sporomusa	Sporomusa malonica	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	NA	FALSE
OTU_340	2	104	84.343	8.204	9.28e-4	Paeniroseomonas	Paeniroseomonas aquatica	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	FALSE
OTU_341	2	102	85.657	30.457	9.38e-4	Clostridium	Clostridium intestinale	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_347	1	77	68.086	21.229	8.56e-4	Faecousia	Faecousia intestinalis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_348	2	96	78.971	11.823	9.11e-4	Asprobacter	Asprobacter aquaticus	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	NA	FALSE
OTU_350	2	99	84.371	414.671	0.001071	Caproiciproducens	Caproiciproducens faecalis	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_352	2	95	80.143	10.711	9.55e-4	Candidatus Galacturonatibacter	Candidatus Galacturonatibacter soehngenii	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_36	2	92	74.114	38.191	9.2e-4	Acetanaerobacterium	Acetanaerobacterium elongatum	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_38	2	92	77.714	426.906	0.001072	Legionella	Legionella antarctica	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	NA	FALSE
OTU_39	2	95	80.143	10.711	9.55e-4	Rhodoferax	Rhodoferax aquaticus	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	FALSE
OTU_4	1	76	63.714	38.548	8.15e-4	Ruminiclostridium	Ruminiclostridium cellulolyticum	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_40	2	92	77.714	426.906	0.001072	Desulfitobacterium	Desulfitobacterium hafniense	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	BOTH	TRUE
OTU_43	2	104	83.943	16.711	9.39e-4	Propionivibrio	Candidatus Propionivibrio aalborgensis	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	NA	FALSE
OTU_44	1	77	67.571	5.017	8.46e-4	Bengtsoniella	Bengtsoniella intestinalis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_45	2	99	84.371	414.671	0.001071	Methylophilus	Methylophilus medardicus	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	NA	FALSE
OTU_46	1	72	61.886	13.137	8.45e-4	Hujiaoplasma	Hujiaoplasma nucleasis	Mycoplasmatota	Mollicutes	Candidatus Izemoplasmatales	Hujiaoplasmataceae	NA	FALSE
OTU_47	2	104	87.657	200.477	9.52e-4	Candidatus Accumulibacter	Candidatus Accumulibacter necessarius	Pseudomonadota	Betaproteobacteria	NA	NA	NA	FALSE
OTU_49	2	104	84.343	8.204	9.28e-4	Steroidobacter	Steroidobacter cummioxidans	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	NA	FALSE
OTU_5	2	100	83.543	30.2	9.27e-4	Clostridium	Clostridium thermosuccinogenes	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_50	2	100	83.543	30.2	9.27e-4	Gemmatimonas	Gemmatimonas phototrophica	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA	FALSE
OTU_53	1	77	68.086	21.229	8.56e-4	Erysipelothrix	Erysipelothrix aquatica	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_55	2	105	84.086	13.779	9.43e-4	Desulfovectis	Desulfovectis peckii	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	NA	FALSE
OTU_56	1	10	7.6	478	7.6e-4	Fusibacter	Fusibacter fontis	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	NA	FALSE
OTU_58	1	77	68.086	21.229	8.56e-4	Christensenella	Christensenella tenuis	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
OTU_6	1	77	67.571	5.017	8.46e-4	Desulforamulus	Desulforamulus reducens	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	NA	FALSE
OTU_60	3	4	3.2	3178	6.54e-4	Caenimonas	Caenimonas aquaedulcis	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	FALSE
OTU_61	2	105	85.114	9.615	9.29e-4	Acetivibrio	Acetivibrio thermocellus	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_62	2	99	84.371	414.671	0.001071	Herbinix	Herbinix luporum	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_64	2	102	85.657	30.457	9.38e-4	Acidovorax	Acidovorax carolinensis	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	POP_BROAD	TRUE
OTU_65	1	77	67.571	5.017	8.46e-4	Anoxybacterium	Anoxybacterium hadale	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	NA	FALSE
OTU_66	2	97	78.6	27.581	9.45e-4	Caproicibacter	Caproicibacter fermentans	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_67	2	91	74.6	536.242	0.001041	Pseudoflavonifractor	Pseudoflavonifractor intestinihominis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_68	1	39	31	0.489	7.93e-4	Intestinimonas	Intestinimonas massiliensis (ex Afouda et al. 2020)	Bacillota	Clostridia	Eubacteriales	NA	NA	FALSE
OTU_69	1	77	67.571	5.017	8.46e-4	Vermiculatibacterium	Vermiculatibacterium agrestimuris	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_7	2	99	84.371	414.671	0.001071	Caloramator	Caloramator mitchellensis	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_70	2	98	79.371	158.501	9.32e-4	Flintibacter	Flintibacter faecis	Bacillota	Clostridia	Eubacteriales	NA	NA	FALSE
OTU_71	1	72	61.886	13.137	8.45e-4	Lawsonibacter	Lawsonibacter faecis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_72	1	75	65.514	30.466	8.45e-4	Ramlibacter	Ramlibacter cellulosilyticus	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	FALSE
OTU_73	2	103	82.2	17.078	9.32e-4	Zongyangia	Zongyangia hominis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_75	2	83	66.714	12.304	9.04e-4	Muriventricola	Muriventricola aceti	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_77	4	6	5.257	0	8.79e-4	Dysosmobacter	Dysosmobacter segnis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_78	2	92	77.714	426.906	0.001072	Caloramator	Caloramator quimbayensis	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_79	2	99	84.371	414.671	0.001071	Lawsonibacter	Lawsonibacter celer	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_80	2	96	83.2	15.049	9.51e-4	Aquincola	Aquincola tertiaricarbonis	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	NA	FALSE
OTU_81	1	75	65.514	30.466	8.45e-4	Vescimonas	Vescimonas sanitatis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_82	1	43	33.114	2907.685	9.31e-4	Proteiniclasticum	Proteiniclasticum ruminis	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_83	1	78	65.029	176.413	8.53e-4	Fusibacter	Fusibacter bizertensis	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	NA	FALSE
OTU_85	1	75	63.286	48.841	7.56e-4	Beduinella	Beduinella massiliensis	Bacillota	Clostridia	Eubacteriales	Beduinellaceae	NA	FALSE
OTU_86	1	76	64.971	114.277	8.45e-4	Alkaliflexus	Alkaliflexus imshenetskii	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	NA	FALSE
OTU_87	1	77	68.086	21.229	8.56e-4	Pseudoruminococcus	Pseudoruminococcus massiliensis	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_88	1	72	61.886	13.137	8.45e-4	Parabacteroides	Parabacteroides segnis	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	NA	FALSE
OTU_9	2	33	26.029	13933.469	0.001109	Pelosinus	Pelosinus propionicus	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	NA	FALSE
OTU_90	2	1	0.714	0	6.89e-4	Flavobacterium	Flavobacterium franklandianum	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	POP_BROAD	TRUE
OTU_91	2	83	66.771	17.3	9.14e-4	Gemmatimonas	Gemmatimonas groenlandica	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA	FALSE
OTU_93	3	11	9.4	382.667	4.84e-4	Microcella	Microcella humidisoli	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	NA	FALSE
OTU_94	2	92	74.114	38.191	9.2e-4	Hydrogenophaga	Hydrogenophaga palleronii	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	POP_BROAD	TRUE
OTU_95	2	102	85.657	30.457	9.38e-4	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium saccharovorans	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_96	1	75	65.514	30.466	8.45e-4	Saccharofermentans	Saccharofermentans acetigenes	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_97	2	91	74.6	536.242	0.001041	Cytophaga	Cytophaga hutchinsonii	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	NA	FALSE
OTU_98	1	77	67.571	5.017	8.46e-4	Anaerosporomusa	Anaerosporomusa subterranea	Bacillota	Negativicutes	NA	Acetonemataceae	NA	FALSE
