module	n_taxa	n_degraders	degrader_genera	mean_degree	max_degree	top_taxa	top_phyla
1	3	1	Flavobacterium	1.3	2	Flavobacterium; Abditibacterium; Ercella	Abditibacteriota (1); Bacillota (1); Bacteroidota (1)
2	91	8	Acetobacterium; Acidovorax; Desulfitobacterium; Hydrogenophaga; Novosphingobium; Sphingomonas; Sphingopyxis; Sphingorhabdus	64.4	76	Acidovorax; Anaerotignum; Blastomonas	Pseudomonadota (40); Bacillota (39); Bacteroidota (3)
3	15	1	Agrobacterium	5	9	Dermatobacter; Agrobacterium; Candidatus Chromulinivorax	Pseudomonadota (7); Actinomycetota (3); Bacillota (3)
4	60	3	Anaeromyxobacter; Dehalobacter; Sphingobium	47.7	56	Candidatus Saccharimonas; Defluviicoccus; Faecousia	Bacillota (37); Bacteroidota (10); Pseudomonadota (5)
5	2	0		1	1	Bdellovibrio; Geotalea	Bdellovibrionota (1); Thermodesulfobacteriota (1)
6	4	0		3.8	4	Christensenella; Oscillibacter; Proteiniclasticum	Bacillota (4)
