node	module	degree	strength	betweenness	closeness	Phylum	Class	Order	evidence_category	is_degrader
Microbacteriaceae	4	6	5.486	3	0.152014	Actinomycetota	Actinomycetes	Micrococcales	NA	FALSE
Nitrobacteraceae	3	26	22.857	6.367	0.020365	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	FALSE
Nocardioidaceae	4	5	4.486	0	0.125896	Actinomycetota	Actinomycetes	Propionibacteriales	NA	FALSE
Opitutaceae	2	34	29.257	1.77	0.01486	Verrucomicrobiota	Opitutia	Opitutales	NA	FALSE
Oscillospiraceae	2	35	30.657	0.915	0.015402	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Paludibacteraceae	3	26	22	41.232	0.021309	Bacteroidota	Bacteroidia	Bacteroidales	NA	FALSE
Paracoccaceae	2	36	30.114	2.944	0.015178	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	NA	FALSE
Pedosphaeraceae	3	28	24.514	3.333	0.022809	Verrucomicrobiota	Pedosphaerae	Pedosphaerales	NA	FALSE
Peptococcaceae	2	35	27.629	6	0.014348	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Pleomorphomonadaceae	3	25	21.343	1.867	0.019126	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	FALSE
Porphyromonadaceae	3	25	21.343	1.867	0.019126	Bacteroidota	Bacteroidia	Bacteroidales	NA	FALSE
Prolixibacteraceae	3	12	9.086	87	0.014938	Bacteroidota	Bacteroidia	Marinilabiliales	NA	FALSE
Pseudobdellovibrionaceae	5	1	0.829	0	0.828571	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	NA	FALSE
Pumilibacteraceae	3	13	11	0	0.014067	Bacillota	Clostridia	Eubacteriales	NA	FALSE
Rhizobiaceae	4	6	5.029	0	0.138468	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	POP_BROAD	TRUE
Rhodocyclaceae	2	39	31.229	7.783	0.015458	Pseudomonadota	Betaproteobacteria	Rhodocyclales	NA	FALSE
Rhodospirillaceae	3	28	24.514	3.333	0.022809	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	FALSE
Roseobacteraceae	2	21	17.457	4.878	0.011433	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	NA	FALSE
Roseomonadaceae	2	32	25.657	24.155	0.013837	Pseudomonadota	Alphaproteobacteria	Acetobacterales	NA	FALSE
Rubricoccaceae	2	36	29.6	15.971	0.01503	Rhodothermota	Rhodothermia	Rhodothermales	NA	FALSE
Sphaerotilaceae	2	34	29.829	8.446	0.01526	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	FALSE
Sphingobiaceae	3	26	22.857	6.367	0.020365	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	POP_BROAD	TRUE
Sphingomonadaceae	2	34	29.6	4.3	0.014828	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	BOTH	TRUE
Sphingopyxidaceae	2	29	23.571	24.061	0.0134	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	POP_BROAD	TRUE
Sphingorhabdaceae	2	27	21.686	10.555	0.012558	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	POP_BROAD	TRUE
Sphingosinicellaceae	2	21	17.457	4.878	0.011433	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	FALSE
Sporomusaceae	2	35	30.657	0.915	0.015402	Bacillota	Negativicutes	Selenomonadales	NA	FALSE
Steroidobacteraceae	2	34	29.6	4.3	0.014828	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	NA	FALSE
Tannerellaceae	3	25	21.343	1.867	0.019126	Bacteroidota	Bacteroidia	Bacteroidales	NA	FALSE
Vicinamibacteraceae	2	39	31.229	7.783	0.015458	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	FALSE
Xylanivirgaceae	2	34	29.6	4.3	0.014828	Bacillota	Clostridia	Caldicoprobacterales	NA	FALSE
