pipeline	otu_retention_pct	genera_retention_pct	pooled_reads_retention_pct	shannon_shift	simpson_shift
Emu based	69.4	73.1	98.8	-0.055	-0.0008
De-novo	41.7	53.1	93.9	-0.303	-0.0037
