genus	total_reads	samples_detected	scope	pipeline	rank_within_pipeline
Ancylomarina	677	6	Pre-threepoint	Emu based	4
Lysobacter	309	6	Pre-threepoint	Emu based	5
Labilibaculum	305	6	Pre-threepoint	Emu based	6
Propionivibrio	289	6	Pre-threepoint	Emu based	7
Kiloniella	268	5	Pre-threepoint	Emu based	8
Ercella	183	5	Pre-threepoint	Emu based	9
Butyricicoccus	172	3	Pre-threepoint	Emu based	10
Zongyangia	134	5	Pre-threepoint	Emu based	11
Aliigemmobacter	124	5	Pre-threepoint	Emu based	12
Candidatus Babela	120	4	Pre-threepoint	Emu based	13
Desulfovectis	117	3	Pre-threepoint	Emu based	14
Geofilum	109	5	Pre-threepoint	Emu based	15
Dysosmobacter	105	5	Pre-threepoint	Emu based	16
Terripilifer	96	4	Pre-threepoint	Emu based	17
Mageeibacillus	89	3	Pre-threepoint	Emu based	18
Neglectibacter	63	3	Pre-threepoint	Emu based	19
Candidatus Galacturonatibacter	61	4	Pre-threepoint	Emu based	20
Vescimonas	57	3	Pre-threepoint	Emu based	21
Bengtsoniella	56	3	Pre-threepoint	Emu based	22
Ahrensia	55	3	Pre-threepoint	Emu based	23
Mobilisporobacter	52	3	Pre-threepoint	Emu based	24
Antarcticimicrobium	48	3	Pre-threepoint	Emu based	25
Allomesorhizobium	44	2	Pre-threepoint	Emu based	26
Lacisediminimonas	42	2	Pre-threepoint	Emu based	27
Longilinea	40	3	Pre-threepoint	Emu based	28
Variimorphobacter	36	2	Pre-threepoint	Emu based	29
Syntrophothermus	35	2	Pre-threepoint	Emu based	30
Petroclostridium	34	2	Pre-threepoint	Emu based	31
Gaoshiqia	32	2	Pre-threepoint	Emu based	32
Rhabdanaerobium	32	2	Pre-threepoint	Emu based	33
Thermanaerosceptrum	32	2	Pre-threepoint	Emu based	34
Garciella	31	1	Pre-threepoint	Emu based	35
Hydrogeniiclostridium	31	2	Pre-threepoint	Emu based	36
Parasphingomonas	29	1	Pre-threepoint	Emu based	37
Azohydromonas	26	2	Pre-threepoint	Emu based	38
Qingrenia	26	2	Pre-threepoint	Emu based	39
Roseateles	26	1	Pre-threepoint	Emu based	40
Roseomonas	26	2	Pre-threepoint	Emu based	41
Puniceibacterium	20	1	Pre-threepoint	Emu based	42
Beijerinckia	18	1	Pre-threepoint	Emu based	43
Haematobacter	17	1	Pre-threepoint	Emu based	44
Comamonas	16	1	Pre-threepoint	Emu based	45
