sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode13_120_filtered	42	0.001822	1488331;1537567	1488331||Bacillota|Clostridia|Eubacteriales|Eubacteriales Family XII. Incertae Sedis|Fusibacter|Fusibacter bizertensis;1537567||Bacillota|Clostridia|Eubacteriales|Eubacteriales Family XII. Incertae Sedis|Fusibacter|Fusibacter fontis	3
barcode13_120_filtered	44	0.003073	270498;626937;1805714;1816678;2763033	270498||Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella hongkongensis;626937||Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella minuta;1805714||Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella massiliensis;1816678||Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella timonensis;2763033||Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella tenuis	18
barcode13_120_filtered	46	0.011554	1515;253314	1515||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio thermocellus;253314||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio straminisolvens	4
barcode13_120_filtered	47	0.023857	433293;1679721	433293||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Anaerotaenia|Anaerotaenia torta;1679721||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Herbinix|Herbinix luporum	21
barcode13_120_filtered	48	0.006170	1650661;1673721;1689270;2108523;2763052;2763053;2986526	1650661||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium phoceensis;1673721||Bacillota|Clostridia|Eubacteriales||Intestinimonas|Intestinimonas massiliensis (ex Afouda et al. 2020);1689270||Bacillota|Clostridia|Eubacteriales||Intestinimonas|Intestinimonas timonensis;2108523||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter asaccharolyticus;2763052||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter faecis;2763053||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter hominis;2986526||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter celer	4
barcode13_120_filtered	50	0.027532	2576756	2576756||Bacillota|Clostridia|Eubacteriales|Acutalibacteraceae|Caproicibacter|Caproicibacter fermentans	1080
barcode13_120_filtered	52	0.000912	2763047;2981773	2763047||Bacillota|Clostridia|Eubacteriales||Flintibacter|Flintibacter faecis;2981773||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Muriventricola|Muriventricola aceti	5
barcode13_120_filtered	53	0.000600	2763677	2763677||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Zongyangia|Zongyangia hominis	1
barcode13_120_filtered	55	0.000408	351091;2763042	351091||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter valericigenes;2763042||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Dysosmobacter|Dysosmobacter segnis	3
barcode13_120_filtered	56	0.001008	1147123	1147123||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Caloramator|Caloramator quimbayensis	37
barcode13_120_filtered	65	0.000321	474960	474960||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Hydrogenoanaerobacterium|Hydrogenoanaerobacterium saccharovorans	17
barcode13_120_filtered	67	0.002272	985	985||Bacteroidota|Cytophagia|Cytophagales|Cytophagaceae|Cytophaga|Cytophaga hutchinsonii	92
barcode13_120_filtered	68	0.000857	1794912	1794912||Bacillota|Negativicutes||Acetonemataceae|Anaerosporomusa|Anaerosporomusa subterranea	34
barcode13_120_filtered	71	0.004828	1958780;2991836	1958780||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium merdae;2991836||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Faecalispora|Faecalispora anaeroviscerum	4
barcode13_120_filtered	73	0.002139	44749	44749||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Sporobacter|Sporobacter termitidis	5
barcode13_120_filtered	75	0.000943	1855912	1855912||Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Luteitalea|Luteitalea pratensis	41
barcode13_120_filtered	80	0.003550	1550;219748;1499683	1550||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium subterminale;219748||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium tunisiense;1499683||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium culturomicium	1
barcode13_120_filtered	82	0.142209	1096341	1096341||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Fonticella|Fonticella tunisiensis	35
barcode13_120_filtered	85	0.000493	1716543	1716543||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium thermarum	18
barcode13_120_filtered	86	0.055086	36849	36849||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Oxobacter|Oxobacter pfennigii	29
barcode13_120_filtered	88	0.000236	1511	1511||Bacillota|Clostridia|Peptostreptococcales|Filifactoraceae|Acetoanaerobium|Acetoanaerobium sticklandii	23
barcode13_120_filtered	93	0.003432	2836848;3240932	2836848||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium aromativorans;3240932||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium moutaii	142
barcode13_120_filtered	94	0.000307	392610;940136;1078469;1282858	392610||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingorhabdaceae|Sphingorhabdus|Sphingorhabdus lacus;940136||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingorhabdaceae|Sphingorhabdus|Sphingorhabdus wooponensis;1078469||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingorhabdaceae|Sphingorhabdus|Sphingorhabdus planktonica;1282858||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingorhabdaceae|Sphingorhabdus|Sphingorhabdus rigui	1
barcode13_120_filtered	95	0.000880	2014610	2014610||Gemmatimonadota|Gemmatimonadia|Gemmatimonadales|Gemmatimonadaceae|Roseisolibacter|Roseisolibacter agri	13
barcode13_120_filtered	99	0.001350	2941510	2941510||Bacillota|Clostridia|Eubacteriales|Pumilibacteraceae|Pumilibacter|Pumilibacter muris	13
barcode13_120_filtered	100	0.001236	2038680	2038680||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Paludihabitans|Paludihabitans psychrotolerans	36
barcode13_120_filtered	101	0.002313	2528036;2583234;2593021;2670345	2528036||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae|Tabrizicola|Tabrizicola caldifontis;2583234||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae|Paragemmobacter|Paragemmobacter kunshanensis;2593021||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae|Tabrizicola|Tabrizicola flagellatus;2670345||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae|Tabrizicola|Tabrizicola thermarum	2
barcode13_120_filtered	102	0.014207	320502	320502||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio alkalicellulosi	2
barcode13_120_filtered	110	0.000814	1460355;1632740;2175090;2305907;2559804;2741495;2771430;2782540	1460355||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas mohensis;1632740||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas zeicaulis;2175090||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas pokkalii;2305907||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas gilva;2559804||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas flavalba;2741495||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas hominis;2771430||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomicrobiaceae|Allosphingosinicella|Allosphingosinicella flava;2782540||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas beigongshangi	1
barcode13_120_filtered	112	0.003322	29353;35830	29353||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio aldrichii;35830||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio cellulolyticus	37
barcode13_120_filtered	117	0.002014	879969	879969||Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Macellibacteroides|Macellibacteroides fermentans	2
barcode13_120_filtered	118	0.000351	651663	651663||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingopyxidaceae|Sphingopyxis|Sphingopyxis bauzanensis	6
barcode13_120_filtered	119	0.000279	2655001	2655001||Bacillota|Clostridia|Eubacteriales|Eubacteriaceae|Alkalibaculum|Alkalibaculum sporogenes	13
barcode13_120_filtered	123	0.004147	1495	1495||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium cylindrosporum	18
