sample_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode13_120_filtered	215.0001898640958	0.004607903938449	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	165.2283880991014	0.0035411900833515	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	146.19734132445691	0.0031333149301197	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	124.0663369402058	0.0026590011989156	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	117.61837627000864	0.0025208079099425	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	101.70954389712172	0.0021798483443091	2824118	Ideonella alba	Ideonella	Sphaerotilaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode13_120_filtered	90.21888533326066	0.0019335794880571	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	77.00321036950857	0.001650339920905	758826	Acidovorax radicis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode13_120_filtered	66.88114211293406	0.0014334028185973	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	61.10200555980104	0.0013095438299106	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	56.56234300927708	0.001212249362594	1078469	Sphingorhabdus planktonica	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	46.22789489028426	0.0009907605154479	1244894	Sphingomonas fonticola	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	42.44899821737789	0.0009097708527267	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode13_120_filtered	40.99650725185107	0.0008786409321213	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	38.003490591031095	0.0008144943224464	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	37.45343315502659	0.0008027054406443	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	34.13569804876942	0.0007315994352379	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	32.16017859481597	0.0006892599197328	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	27.0	0.0005786664952099	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode13_120_filtered	26.120177938054347	0.0005598100674693	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	23.861271401130637	0.0005113969738127	397260	Sphingomonas sanxanigenens	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	22.000000000000004	0.000471506033134	65655	Hydrogenophaga palleronii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode13_120_filtered	21.215857610273424	0.0004547002209707	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	18.89817814752988	0.0004050275005364	2559804	Sphingomonas flavalba	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	17.370494992897612	0.0003722860539852	2707068	Sphingomonas montis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	16.37644145231024	0.0003509814066377	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	14.301958941953457	0.000306520905762	1282858	Sphingorhabdus rigui	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode13_120_filtered	10.0	0.0002143209241518	2594430	Flavobacterium franklandianum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group				
barcode14_120_filtered	327.0000000358502	0.0069961489096245	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode14_120_filtered	256.62205757950284	0.0054904162939559	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	220.67143014405892	0.004721254389047	1078469	Sphingorhabdus planktonica	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	175.12247713023694	0.0037467367807068	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	163.31778869193468	0.003494176052459	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode14_120_filtered	144.69926531061307	0.0030958336609031	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	129.29812999653595	0.0027663271287234	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
