phylum	total_reads
Ascomycota	40517.881377584956
Mucoromycota	36253.50387642066
Basidiomycota	28337.679880152682
Chytridiomycota	26745.637464016836
Zoopagomycota	5418.604813538269
Microsporidia	3845.6023819799493
Cryptomycota	505.572758277038
Blastocladiomycota	261.21432009900553
