kingdom	total	pct
Fungi	141996.98106250545	42
Plants	82480.34716513046	24.4
Animals	72115.56725257385	21.3
Algae	33727.42371174879	10
Oomycetes	4745.197120940963	1.4
Other eukaryotes	2892.8865476061555	0.9
