stage	sample_id	short_id	kingdom	reads	pct
Raw EMU
(all taxa)	barcode19	BC19	Other eukaryotes	388.2583766939394	0.9084559287916825
Raw EMU
(all taxa)	barcode19	BC19	Oomycetes	493.27295002428934	1.15417145607492
Raw EMU
(all taxa)	barcode19	BC19	Animals	12413.452436298454	29.045283088427738
Raw EMU
(all taxa)	barcode19	BC19	Algae	4806.314562659833	11.245925966274934
Raw EMU
(all taxa)	barcode19	BC19	Plants	8965.737613798223	20.978240213645666
Raw EMU
(all taxa)	barcode19	BC19	Fungi	15671.23725450986	36.66792334678507
Raw EMU
(all taxa)	barcode20	BC20	Other eukaryotes	1408.2222611636007	1.3526754304551203
Raw EMU
(all taxa)	barcode20	BC20	Oomycetes	1308.5817901766675	1.256965242724078
Raw EMU
(all taxa)	barcode20	BC20	Animals	22186.91518286685	21.311760134126324
Raw EMU
(all taxa)	barcode20	BC20	Algae	10205.149810321156	9.802611273257982
Raw EMU
(all taxa)	barcode20	BC20	Plants	27441.85090119309	26.3594167653512
Raw EMU
(all taxa)	barcode20	BC20	Fungi	41555.721958807895	39.9165711540853
Raw EMU
(all taxa)	barcode21	BC21	Other eukaryotes	1096.4059097486154	0.5736930319266571
Raw EMU
(all taxa)	barcode21	BC21	Oomycetes	2943.342380740006	1.5401002488139786
Raw EMU
(all taxa)	barcode21	BC21	Animals	37515.19963340854	19.629781661755715
Raw EMU
(all taxa)	barcode21	BC21	Algae	18715.959338767796	9.7931025024624
Raw EMU
(all taxa)	barcode21	BC21	Plants	46072.75865013915	24.107513799596084
Raw EMU
(all taxa)	barcode21	BC21	Fungi	84770.02184918769	44.35580875544516
Post fungi-filtering	barcode19	BC19	Fungi	15671.23725450986	100
Post fungi-filtering	barcode20	BC20	Fungi	41531.86740762796	100
Post fungi-filtering	barcode21	BC21	Fungi	84682.59220993158	100
