OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_97	2583	285	1059	1238	5		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis	pass	97	2719.300	100.00	Ascomycota	100.00	100.00	Sordariomycetes	100.00	100.00	Coronophorales	100.00	100.00	Ceratostomataceae	100.00	93.44	Dactylidispora	93.44	58.45	Dactylidispora singaporensis	58.45
OTU_0	2468	16	2365	87	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	pass	0	2569.900	100.00	Basidiomycota	100.00	97.93	Agaricomycetes	97.93	92.80	Agaricales	92.80	91.53	Strophariaceae	91.53	91.53	Psilocybe	91.53	91.53	Psilocybe cubensis	91.53
OTU_31	2156	197	653	1307	1		Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	Aphanomyces	Aphanomyces astaci	pass	31	2250.100	100.00	Oomycota	100.00	100.00	Saprolegniomycetes	100.00	100.00	Saprolegniales	100.00	100.00	Verrucalvaceae	100.00	100.00	Aphanomyces	100.00	100.00	Aphanomyces astaci	100.00
OTU_121	1721	218	396	1106	1		Chytridiomycota	Chytridiomycetes		Quaeritorhizaceae	Quaeritorhiza	Quaeritorhiza haematococci	pass	121	1820.200	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	NA		0.00	100.00	Quaeritorhizaceae	100.00	100.00	Quaeritorhiza	100.00	100.00	Quaeritorhiza haematococci	100.00
OTU_63	1665	80	454	1131	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	pass	63	1792.000	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Gigasporaceae	100.00	100.00	Dentiscutata	100.00	100.00	Dentiscutata savannicola	100.00
OTU_252	1555	346	322	887	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	pass	252	1662.300	100.00	Basidiomycota	100.00	100.00	Pucciniomycetes	100.00	100.00	Pucciniales	100.00	100.00	Pucciniaceae	100.00	100.00	Puccinia	100.00	100.00	Puccinia wiehei	100.00
OTU_66	1535	120	445	970	6		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis	pass	66	1608.400	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Metschnikowiaceae	100.00	77.77	Danielia	77.77	77.77	Danielia oregonensis	77.77
OTU_62	1352	158	295	898	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces minutus	pass	62	1462.700	100.00	Zoopagomycota	100.00	100.00	Kickxellomycetes	100.00	100.00	Kickxellales	100.00	100.00	Kickxellaceae	100.00	100.00	Spiromyces	100.00	100.00	Spiromyces minutus	100.00
OTU_188	1350	42	284	1025	2		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	pass	188	1461.700	100.00	Basidiomycota	100.00	100.00	Agaricomycetes	100.00	100.00	Cantharellales	100.00	100.00	Hydnaceae	100.00	100.00	Hydnum	100.00	82.12	Hydnum pinicola	82.12
OTU_231	1340	144	387	809	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	pass	231	1402.000	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Diversisporaceae	100.00	100.00	Diversispora	100.00	100.00	Diversispora aurantia	100.00
