OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status	member_count
OTU_188	Hydnum	Hydnum pinicola	Basidiomycota	1350	42	284	1025	42	pass	2
OTU_231	Diversispora	Diversispora aurantia	Mucoromycota	1340	144	387	809	144	pass	1
OTU_25	Phytophthora	Phytophthora infestans	Oomycota	1329	102	344	883	102	pass	3
OTU_41	Parastagonospora	Parastagonospora nodorum	Ascomycota	1128	33	22	1074	22	pass	1
OTU_35	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	1068	241	217	609	217	pass	4
OTU_27	Aphanomyces	Aphanomyces invadans	Oomycota	1033	122	262	649	122	pass	1
OTU_90	Metschnikowia	Metschnikowia laotica	Ascomycota	786	44	216	525	44	pass	1
OTU_289	Kodamaea	Kodamaea kakaduensis	Ascomycota	773	145	153	476	145	pass	1
OTU_15	Gloniopsis	Gloniopsis calami	Ascomycota	685	107	217	362	107	pass	9
OTU_71	Kodamaea	Kodamaea ohmeri	Ascomycota	683	23	170	491	23	pass	4
OTU_137	Hydnum	Hydnum reginae	Basidiomycota	675	39	192	444	39	pass	1
OTU_91	Lipomyces	Lipomyces oligophaga	Ascomycota	665	117	160	389	117	pass	1
OTU_113	Gromochytrium	Gromochytrium mamkaevae	Chytridiomycota	661	84	205	372	84	pass	1
OTU_68	Piptocephalis	Piptocephalis corymbifera	Zoopagomycota	624	76	139	408	76	pass	1
OTU_303	Gorgonomyces	Gorgonomyces thailandicus	Chytridiomycota	623	78	221	324	78	pass	1
OTU_49	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	588	82	155	351	82	pass	3
OTU_294	Buwchfawromyces	Buwchfawromyces eastonii	Chytridiomycota	582	24	152	406	24	pass	1
OTU_44	Yamadazyma	[Candida] blattariae	Ascomycota	578	122	200	256	122	pass	5
OTU_77	Archaeospora	Archaeospora ecuadoriana	Mucoromycota	569	41	195	333	41	pass	1
OTU_88	Pucciniastrum	Pucciniastrum myosotidii	Basidiomycota	562	438	45	79	45	pass	3
OTU_73	Sporobolomyces	Sporobolomyces beijingensis	Basidiomycota	558	33	116	409	33	pass	5
OTU_179	Sporobolomyces	Sporobolomyces cellobiolyticus	Basidiomycota	507	35	165	306	35	pass	3
OTU_46	Monilochaetes	Monilochaetes dimorphospora	Ascomycota	488	186	142	160	142	pass	8
OTU_116	Meliola	Meliola pottsiae	Ascomycota	462	39	96	327	39	pass	1
OTU_271	Paramicrosporidium	Paramicrosporidium saccamoebae	Cryptomycota	456	43	138	275	43	pass	1
OTU_197	Milesina	Milesina woodwardiana	Basidiomycota	450	40	101	308	40	pass	1
OTU_258	Entomortierella	Entomortierella sugadairana	Mucoromycota	448	43	73	332	43	pass	1
OTU_216	Redeckera	Redeckera megalocarpum	Mucoromycota	380	43	95	243	43	pass	1
OTU_57	Acaulospora	Acaulospora cavernata	Mucoromycota	371	232	43	97	43	pass	2
OTU_23	Linderina	Linderina pennispora	Zoopagomycota	332	13	62	256	13	pass	1
OTU_261	Phaffomyces	[Candida] orba	Ascomycota	330	44	105	180	44	pass	1
OTU_72	Danielozyma	Danielozyma litseae	Ascomycota	323	43	100	180	43	pass	2
OTU_84	Novakomyces	Novakomyces olei	Ascomycota	306	19	72	215	19	pass	1
OTU_42	Hyaloraphidium	Hyaloraphidium curvatum	Chytridiomycota	304	56	125	123	56	pass	1
OTU_293	Acaulospora	Acaulospora laevis	Mucoromycota	302	88	56	158	56	pass	1
OTU_109	Dicephalospora	Dicephalospora sessilis	Ascomycota	301	52	65	183	52	pass	1
OTU_39	Kalmanozyma	Kalmanozyma brasiliensis	Basidiomycota	295	29	161	105	29	pass	1
OTU_60	Wickerhamiella	Wickerhamiella galacta	Ascomycota	268	27	115	126	27	pass	1
OTU_21	Allomyces	Allomyces arbusculus	Blastocladiomycota	261	45	72	144	45	pass	1
OTU_107	Darksidea	Darksidea zeta	Ascomycota	258	59	65	134	59	pass	2
OTU_234	Basidiobolus	Basidiobolus haptosporus	Zoopagomycota	238	28	40	170	28	pass	1
OTU_22	Bremia	Bremia lactucae	Oomycota	227	72	50	105	50	pass	2
OTU_130	Gonapodya	Gonapodya prolifera	Chytridiomycota	221	21	72	127	21	pass	1
OTU_274	Terramyces	Terramyces aquatica	Chytridiomycota	218	24	88	106	24	pass	1
OTU_268	Apiotrichum	Apiotrichum otae	Basidiomycota	210	72	108	30	30	pass	1
OTU_230	Dasyspora	Dasyspora frutescentis	Basidiomycota	204	130	24	50	24	pass	1
OTU_86	Cyberlindnera	Cyberlindnera mississippiensis	Ascomycota	195	17	67	111	17	pass	3
OTU_194	Piromyces	Piromyces finnis	Chytridiomycota	193	29	62	102	29	pass	1
OTU_182	Curvularia	Curvularia colbranii	Ascomycota	189	13	31	145	13	pass	2
OTU_286	Sungouiella	Sungouiella pseudoflosculorum	Ascomycota	187	52	58	77	52	pass	1
OTU_280	Tricholomopsis	Tricholomopsis osiliensis	Basidiomycota	178	14	47	117	14	pass	1
OTU_95	Classicula	Classicula sinensis	Basidiomycota	174	23	44	107	23	pass	1
OTU_3	Spizellomyces	Spizellomyces punctatus	Chytridiomycota	171	81	27	63	27	pass	1
OTU_143	Trigonosporomyces	Trigonosporomyces hylophilus	Basidiomycota	169	27	41	100	27	pass	1
OTU_1	Chlorella	Chlorella variabilis	Chlorophyta	164	30	49	85	30	pass	1
OTU_248	Tortispora	Tortispora agaves	Ascomycota	142	66	20	55	20	pass	1
OTU_163	Lactifluus	Lactifluus chrysocarpus	Basidiomycota	140	57	28	55	28	pass	1
OTU_82	Myxozyma	Myxozyma vanderwaltii	Ascomycota	138	19	24	95	19	pass	3
OTU_10	Pseudocercospora	Pseudocercospora fijiensis	Ascomycota	135	11	46	78	11	pass	1
OTU_275	Starmerella	Starmerella vitae	Ascomycota	129	15	27	86	15	pass	1
OTU_115	Kirschsteiniothelia	Kirschsteiniothelia puerensis	Ascomycota	118	33	28	57	28	pass	1
OTU_19	Atractospora	Atractospora decumbens	Ascomycota	104	13	32	58	13	pass	1
OTU_112	Pecoramyces	Pecoramyces ruminantium	Chytridiomycota	80	21	22	37	21	pass	1
OTU_85	Calcarisporiella	Calcarisporiella thermophila	Mucoromycota	77	15	25	36	15	pass	1
OTU_9	Mycoemilia	Mycoemilia scoparia	Zoopagomycota	73	14	15	44	14	pass	1
OTU_45	Synchytrium	Synchytrium microbalum	Chytridiomycota	65	17	20	28	17	pass	1
OTU_96	Cyanodermella	Cyanodermella oleoligni	Ascomycota	56	12	20	25	12	pass	1
