OTU_ID,genus,species,phylum,matched_genera,evidence_category,threepoint_status,total_reads,prevalence,mean_reads,mean_reads_ss1,mean_reads_ss2
OTU_602,Anaeromyxobacter,Anaeromyxobacter paludicola,Myxococcota,Anaeromyxobacter,BOTH,both,21,6,3.5,4.7,2.3
OTU_713,Sphingomonas,,Pseudomonadota,Sphingomonas,DIOXIN_CORE,SS1,20,5,3.3,4.7,2.0
OTU_351,Novosphingobium,Novosphingobium aromaticivorans strain IFO 16085,Pseudomonadota,Novosphingobium,POP_BROAD,SS1,20,5,3.3,4.3,2.3
OTU_785,Sphingopyxis,Sphingopyxis witflariensis strain W-50,Pseudomonadota,Sphingopyxis,POP_BROAD,SS1,19,5,3.2,2.7,3.7
OTU_395,Sphingomonas,,Pseudomonadota,Sphingomonas,DIOXIN_CORE,SS2,18,4,3.0,0.7,5.3
OTU_531,Dehalobacter,Dehalobacter restrictus DSM 9455 strain PER-K23,Bacillota,Dehalobacter,BOTH,SS2,18,3,3.0,0.0,6.0
OTU_396,Paracoccus,Paracoccus marcusii strain MH1,Pseudomonadota,Paracoccus,POP_BROAD,both,16,6,2.7,3.3,2.0
OTU_508,Sphingomonas,Sphingomonas donggukensis,Pseudomonadota,Sphingomonas,DIOXIN_CORE,both,16,6,2.7,3.0,2.3
OTU_796,Novosphingobium,,Pseudomonadota,Novosphingobium,POP_BROAD,SS2,15,4,2.5,0.7,4.3
OTU_575,Sphingomonas,Sphingomonas gotjawalisoli strain SN6-9,Pseudomonadota,Sphingomonas,DIOXIN_CORE,SS1,14,5,2.3,3.7,1.0
OTU_562,Sphingomonas,Sphingomonas naphthae strain DKC-5-1,Pseudomonadota,Sphingomonas,DIOXIN_CORE,SS2,13,5,2.2,0.7,3.7
OTU_715,Serratia,Serratia proteamaculans strain DSM 4543,Pseudomonadota,Serratia,POP_BROAD,SS1,9,3,1.5,3.0,0.0
