OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_97	barcode21	1238	0.022381	5		Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis	Ascomycota	Pollutant_responsive
OTU_0	barcode19	16	0.001567	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	Basidiomycota	Direct_POP_degradation
OTU_0	barcode20	2365	0.085314	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	Basidiomycota	Direct_POP_degradation
OTU_0	barcode21	87	0.001573	7		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	Basidiomycota	Direct_POP_degradation
OTU_63	barcode19	80	0.007836	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_63	barcode20	454	0.016377	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_63	barcode21	1131	0.020447	1		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata savannicola	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_252	barcode19	346	0.033892	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	Basidiomycota	Direct_POP_degradation
OTU_252	barcode20	322	0.011616	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	Basidiomycota	Direct_POP_degradation
OTU_252	barcode21	887	0.016035	1		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	Basidiomycota	Direct_POP_degradation
OTU_66	barcode19	120	0.011754	6		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis	Ascomycota	Pollutant_responsive
OTU_66	barcode20	445	0.016053	6		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis	Ascomycota	Pollutant_responsive
OTU_66	barcode21	970	0.017536	6		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Danielia	Danielia oregonensis	Ascomycota	Pollutant_responsive
OTU_188	barcode19	42	0.004114	2		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	Basidiomycota	Direct_POP_degradation
OTU_188	barcode20	284	0.010245	2		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	Basidiomycota	Direct_POP_degradation
OTU_188	barcode21	1025	0.018530	2		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	Basidiomycota	Direct_POP_degradation
OTU_231	barcode19	144	0.014105	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_231	barcode20	387	0.013961	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_231	barcode21	809	0.014625	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_41	barcode19	33	0.003232	1		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	Ascomycota	Pollutant_responsive
OTU_41	barcode20	22	0.000794	1		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	Ascomycota	Pollutant_responsive
OTU_41	barcode21	1074	0.019416	1		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	Ascomycota	Pollutant_responsive
