OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status
OTU_279	Funneliformis	Funneliformis pilosus	Mucoromycota	14	0	0	14	0.0	fail
OTU_282	Neoascochyta	Neoascochyta cylindrispora	Ascomycota	14	0	0	14	0.0	fail
OTU_8	Rhopalophora	Rhopalophora clavispora	Ascomycota	13	0	0	13	0.0	fail
OTU_14	Hirsutella	Hirsutella rhossiliensis	Ascomycota	13	0	0	13	0.0	fail
OTU_30	Thalassiosira	Thalassiosira pseudonana	Bacillariophyta	13	0	0	13	0.0	fail
OTU_50	Paraglomus	Paraglomus occultum	Mucoromycota	13	13	0	0	0.0	fail
OTU_81	Exserohilum	Exserohilum turcicum	Ascomycota	13	0	0	13	0.0	fail
OTU_92	Tremella	Tremella tropica	Basidiomycota	13	0	0	13	0.0	fail
OTU_135	Mastigosporium	Mastigosporium album	Ascomycota	13	0	0	13	0.0	fail
OTU_203	Psathyrella	Psathyrella ochrofulva	Basidiomycota	13	0	13	0	0.0	fail
OTU_226	Alphamyces	Alphamyces thailandicus	Chytridiomycota	13	0	13	0	0.0	fail
OTU_16	Sagenomella	Sagenomella diversispora	Ascomycota	12	0	0	12	0.0	fail
OTU_120	Entoloma	Entoloma dichroides	Basidiomycota	12	0	0	12	0.0	fail
OTU_235	Sonoraphlyctis	Sonoraphlyctis ranzonii	Chytridiomycota	12	0	12	0	0.0	fail
OTU_240	Berkeleyomyces	Berkeleyomyces basicola	Ascomycota	12	0	12	0	0.0	fail
OTU_283	Bulleribasidium	Bulleribasidium wuzhishanense	Basidiomycota	12	0	0	12	0.0	fail
OTU_5	Lipomyces	Lipomyces sakishimensis	Ascomycota	11	0	0	11	0.0	fail
OTU_110	Neomollisia	Neomollisia gelatinosa	Ascomycota	11	11	0	0	0.0	fail
OTU_242	Dioszegia	Dioszegia maotaiensis	Basidiomycota	11	0	0	11	0.0	fail
OTU_267	Microthecium	Microthecium ciliatum	Ascomycota	11	0	0	11	0.0	fail
OTU_287	Spathaspora	Spathaspora passalidarum	Ascomycota	11	0	0	11	0.0	fail
OTU_134	Chrysozyma	Chrysozyma sorbariae	Basidiomycota	10	0	10	0	0.0	fail
