OTU_ID	Genus	Species	Phylum	matched_phylum	category	total_reads	threepoint_status	barcode19	barcode20	barcode21
OTU_182	Curvularia	Curvularia colbranii	Ascomycota	Ascomycota	Pollutant_responsive	189	pass	13	31	145
OTU_286	Sungouiella	Sungouiella pseudoflosculorum	Ascomycota	Ascomycota	Pollutant_responsive	187	pass	52	58	77
OTU_280	Tricholomopsis	Tricholomopsis osiliensis	Basidiomycota	Basidiomycota	Direct_POP_degradation	178	pass	14	47	117
OTU_95	Classicula	Classicula sinensis	Basidiomycota	Basidiomycota	Direct_POP_degradation	174	pass	23	44	107
OTU_143	Trigonosporomyces	Trigonosporomyces hylophilus	Basidiomycota	Basidiomycota	Direct_POP_degradation	169	pass	27	41	100
OTU_248	Tortispora	Tortispora agaves	Ascomycota	Ascomycota	Pollutant_responsive	142	pass	66	20	55
OTU_163	Lactifluus	Lactifluus chrysocarpus	Basidiomycota	Basidiomycota	Direct_POP_degradation	140	pass	57	28	55
OTU_82	Myxozyma	Myxozyma vanderwaltii	Ascomycota	Ascomycota	Pollutant_responsive	138	pass	19	24	95
OTU_10	Pseudocercospora	Pseudocercospora fijiensis	Ascomycota	Ascomycota	Pollutant_responsive	135	pass	11	46	78
OTU_275	Starmerella	Starmerella vitae	Ascomycota	Ascomycota	Pollutant_responsive	129	pass	15	27	86
OTU_115	Kirschsteiniothelia	Kirschsteiniothelia puerensis	Ascomycota	Ascomycota	Pollutant_responsive	118	pass	33	28	57
OTU_19	Atractospora	Atractospora decumbens	Ascomycota	Ascomycota	Pollutant_responsive	104	pass	13	32	58
OTU_85	Calcarisporiella	Calcarisporiella thermophila	Mucoromycota	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation	77	pass	15	25	36
OTU_96	Cyanodermella	Cyanodermella oleoligni	Ascomycota	Ascomycota	Pollutant_responsive	56	pass	12	20	25
