OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	matched_phylum	category
OTU_197	450	40	101	308	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	pass	Basidiomycota	Direct_POP_degradation
OTU_258	448	43	73	332	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_216	380	43	95	243	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_57	371	232	43	97	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_261	330	44	105	180	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	pass	Ascomycota	Pollutant_responsive
OTU_72	323	43	100	180	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	pass	Ascomycota	Pollutant_responsive
OTU_84	306	19	72	215	1		Ascomycota				Novakomyces	Novakomyces olei	pass	Ascomycota	Pollutant_responsive
OTU_293	302	88	56	158	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_109	301	52	65	183	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	pass	Ascomycota	Pollutant_responsive
OTU_39	295	29	161	105	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	pass	Basidiomycota	Direct_POP_degradation
OTU_60	268	27	115	126	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	pass	Ascomycota	Pollutant_responsive
OTU_107	258	59	65	134	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	pass	Ascomycota	Pollutant_responsive
OTU_268	210	72	108	30	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	pass	Basidiomycota	Direct_POP_degradation
OTU_230	204	130	24	50	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	pass	Basidiomycota	Direct_POP_degradation
OTU_86	195	17	67	111	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	pass	Ascomycota	Pollutant_responsive
OTU_182	189	13	31	145	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii	pass	Ascomycota	Pollutant_responsive
OTU_286	187	52	58	77	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Sungouiella	Sungouiella pseudoflosculorum	pass	Ascomycota	Pollutant_responsive
OTU_280	178	14	47	117	1		Basidiomycota	Agaricomycetes	Agaricales		Tricholomopsis	Tricholomopsis osiliensis	pass	Basidiomycota	Direct_POP_degradation
OTU_95	174	23	44	107	1		Basidiomycota	Classiculomycetes	Classiculales	Classiculaceae	Classicula	Classicula sinensis	pass	Basidiomycota	Direct_POP_degradation
OTU_143	169	27	41	100	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Trigonosporomyces	Trigonosporomyces hylophilus	pass	Basidiomycota	Direct_POP_degradation
OTU_248	142	66	20	55	1		Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Tortispora	Tortispora agaves	pass	Ascomycota	Pollutant_responsive
OTU_163	140	57	28	55	1		Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus chrysocarpus	pass	Basidiomycota	Direct_POP_degradation
OTU_82	138	19	24	95	3		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Myxozyma	Myxozyma vanderwaltii	pass	Ascomycota	Pollutant_responsive
OTU_10	135	11	46	78	1		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fijiensis	pass	Ascomycota	Pollutant_responsive
OTU_275	129	15	27	86	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella vitae	pass	Ascomycota	Pollutant_responsive
OTU_115	118	33	28	57	1		Ascomycota	Dothideomycetes	Kirschsteiniotheliales	Kirschsteiniotheliaceae	Kirschsteiniothelia	Kirschsteiniothelia puerensis	pass	Ascomycota	Pollutant_responsive
OTU_19	104	13	32	58	1		Ascomycota	Sordariomycetes		Atractosporaceae	Atractospora	Atractospora decumbens	pass	Ascomycota	Pollutant_responsive
OTU_85	77	15	25	36	1		Mucoromycota		Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila	pass	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_96	56	12	20	25	1		Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Cyanodermella	Cyanodermella oleoligni	pass	Ascomycota	Pollutant_responsive
